date,total_cases,new_cases,total_deaths,new_deaths,stringency_index
26/5/2020,31960,344,23,0,81.48
27/5/2020,32343,383,23,0,81.48
28/5/2020,32876,533,23,0,81.48
29/5/2020,33249,373,23,0,81.48
30/5/2020,33860,611,23,0,81.48
31/5/2020,34366,506,23,0,81.48
1/6/2020,34884,518,23,0,81.48
2/6/2020,35292,408,24,1,77.78
3/6/2020,35836,544,24,0,77.78
4/6/2020,36405,569,24,0,77.78
5/6/2020,36922,517,24,0,77.78
6/6/2020,37183,261,24,0,77.78
7/6/2020,37527,344,25,1,77.78
8/6/2020,37910,383,25,0,77.78
9/6/2020,38296,386,25,0,77.78
10/6/2020,38514,218,25,0,77.78
11/6/2020,38965,451,25,0,77.78
12/6/2020,39387,422,25,0,77.78
13/6/2020,39850,463,25,0,77.78
14/6/2020,40197,347,26,1,77.78
15/6/2020,40604,407,26,0,77.78
16/6/2020,40818,214,26,0,77.78
17/6/2020,40969,151,26,0,77.78
18/6/2020,41216,247,26,0,77.78
19/6/2020,41473,257,26,0,53.7
20/6/2020,41615,142,26,0,53.7
21/6/2020,41833,218,26,0,53.7
22/6/2020,42095,262,26,0,0
23/6/2020,42313,218,26,0,0
24/6/2020,42432,119,26,0,0
25/6/2020,42623,191,26,0,0
26/6/2020,42736,113,26,0,0
27/6/2020,42955,219,26,0,0
28/6/2020,43246,291,26,0,0
29/6/2020,43459,213,26,0,0
30/6/2020,43661,202,26,0,0
